"t","z"
2.350819625E0,2.117660398E-1
2.367489916E0,2.172823442E-1
2.384164416E0,2.127645858E-1
2.400834041E0,2.287786312E-1
2.417507916E0,2.837143877E-1
2.434176125E0,2.971671265E-1
2.450852166E0,2.972480749E-1
2.467521916E0,2.643943891E-1
2.484197041E0,2.485026404E-1
2.500867916E0,2.303170555E-1
2.517539291E0,2.176763917E-1
2.534209875E0,2.167486797E-1
2.550883916E0,2.123494914E-1
2.567554625E0,2.107206240E-1
2.584229083E0,2.101537999E-1
2.600899833E0,2.107232759E-1
2.617573291E0,2.188427953E-1
2.634242916E0,2.456778412E-1
2.650917625E0,2.612363177E-1
2.667589500E0,2.769474641E-1
2.684262416E0,2.640947588E-1
2.700932541E0,2.619978626E-1
2.717604875E0,2.423234644E-1
2.734275458E0,2.206917675E-1
2.750950708E0,2.324918079E-1
2.767653916E0,2.171768736E-1
2.784295708E0,2.117223479E-1
2.800965625E0,2.096232434E-1
2.817637791E0,2.123443470E-1
2.834308791E0,2.118678843E-1
2.850983708E0,2.156047403E-1
2.867655791E0,2.154883026E-1
2.884327500E0,2.596179154E-1
2.900997583E0,2.730808319E-1
2.917671916E0,2.826585044E-1
2.934344333E0,2.654907975E-1
2.951016458E0,2.431259463E-1
2.967688583E0,2.239790115E-1
2.984361333E0,2.098993750E-1
3.001031166E0,2.066280386E-1
3.017704625E0,2.066121753E-1
3.034375291E0,2.073456659E-1
3.051049000E0,2.124327567E-1
