"t","z","v","a"
2.880000000E0,2.417830943E-1,8.060357902E-2,-1.664156561E0
2.900000000E0,2.456774556E-1,3.026349480E-2,-2.405689836E0
2.920000000E0,2.462503400E-1,-2.766826591E-2,-2.559617777E0
2.940000000E0,2.433610291E-1,-8.014416331E-2,-2.083159448E0
2.960000000E0,2.373710026E-1,-1.171170055E-1,-1.039984477E0
2.980000000E0,2.297496804E-1,-1.318820057E-1,2.707681245E-1
3.000000000E0,2.225281942E-1,-1.244923223E-1,1.434398811E0
3.020000000E0,2.176154580E-1,-9.872034065E-2,2.072159303E0
3.040000000E0,2.162263702E-1,-6.019343807E-2,1.975623696E0
3.060000000E0,2.183553700E-1,-1.846872606E-2,1.212928580E0
3.080000000E0,2.225141223E-1,1.222998134E-2,1.474755219E-1
3.100000000E0,2.265842878E-1,2.090518339E-2,-7.806172966E-1
3.120000000E0,2.290396307E-1,6.846294223E-3,-1.303650364E0
3.140000000E0,2.292982859E-1,-2.226477463E-2,-1.371359683E0
3.160000000E0,2.274446567E-1,-5.550667122E-2,-1.062519079E0
3.180000000E0,2.239475287E-1,-8.309359527E-2,-5.101107199E-1
3.200000000E0,2.195402285E-1,-9.818570602E-2,1.313794930E-1
3.220000000E0,2.152006166E-1,-9.726870366E-2,6.892029947E-1
3.240000000E0,2.120040930E-1,-8.061203778E-2,9.951139923E-1
3.260000000E0,2.107307212E-1,-5.346604157E-2,9.490288305E-1
3.280000000E0,2.113132027E-1,-2.519354639E-2,6.105777864E-1
3.300000000E0,2.128167333E-1,-5.438920565E-3,1.824040790E-1
3.320000000E0,2.141974648E-1,1.350903273E-3,-1.496787725E-1
3.340000000E0,2.148759192E-1,-2.621656814E-3,-3.121799475E-1
3.360000000E0,2.148318142E-1,-1.146172663E-2,-3.362730121E-1
3.380000000E0,2.142498680E-1,-1.985716506E-2,-2.715612935E-1
3.400000000E0,2.132666720E-1,-2.482450912E-2,-1.396855039E-1
3.420000000E0,2.120473781E-1,-2.536885252E-2,3.736762670E-2
3.440000000E0,2.108508064E-1,-2.165067032E-2,2.159108388E-1
3.460000000E0,2.100054818E-1,-1.475126333E-2,3.345126171E-1
3.480000000E0,2.097192415E-1,-6.487819167E-3,3.536413636E-1
3.500000000E0,2.099844338E-1,1.483689123E-3,2.761592329E-1
3.520000000E0,2.106093192E-1,7.750314875E-3,1.426045639E-1
3.540000000E0,2.113547202E-1,1.147592342E-2,1.840835169E-3
3.560000000E0,2.120247322E-1,1.232137955E-2,-1.081823320E-1
3.580000000E0,2.125218238E-1,1.028963699E-2,-1.734749585E-1
3.600000000E0,2.128021475E-1,5.808278244E-3,-1.956683094E-1
3.620000000E0,2.128387226E-1,6.662721816E-5,-1.804903788E-1
3.640000000E0,2.126004088E-1,-5.719581197E-3,-1.292449423E-1
3.660000000E0,2.120957522E-1,-1.022702409E-2,-4.611856176E-2
3.680000000E0,2.114850652E-1,-1.213203030E-2,4.060281260E-2
3.700000000E0,2.109796072E-1,-1.094534744E-2,9.876212020E-2
3.720000000E0,2.107140842E-1,-7.209035461E-3,1.145659766E-1
3.740000000E0,2.106796022E-1,-2.320124808E-3,1.009582459E-1
3.760000000E0,2.107734384E-1,2.068095988E-3,8.210288451E-2
3.780000000E0,2.109228454E-1,4.910450095E-3,6.714335657E-2
3.800000000E0,2.111067107E-1,6.132144455E-3,5.121334472E-2
3.820000000E0,2.113305190E-1,6.367214746E-3,2.622044696E-2
3.840000000E0,2.116058687E-1,6.107153600E-3,-1.222276112E-2
3.860000000E0,2.119062494E-1,5.010471261E-3,-5.909479416E-2
3.880000000E0,2.121635566E-1,2.667730385E-3,-1.025931421E-1
3.900000000E0,2.122807918E-1,-7.765364075E-4,-1.258455014E-1
3.920000000E0,2.121963746E-1,-4.526003903E-3,-1.181456291E-1
3.940000000E0,2.119174812E-1,-7.461419614E-3,-8.022962433E-2
3.960000000E0,2.115216255E-1,-8.728841864E-3,-2.407162931E-2
3.980000000E0,2.111041075E-1,-8.378212317E-3,3.581867408E-2
4.000000000E0,2.107859967E-1,-7.079634225E-3,7.722154565E-2
4.020000000E0,2.106372221E-1,-5.736126273E-3,8.486164542E-2
4.040000000E0,2.106553853E-1,-4.942503131E-3,5.620008900E-2
4.060000000E0,2.107840061E-1,-5.107490715E-3,1.873551060E-4
4.080000000E0,2.109147375E-1,-6.513289930E-3,-6.234174433E-2
4.100000000E0,2.109378012E-1,-9.060956478E-3,-1.097796909E-1
4.120000000E0,2.107633040E-1,-1.177099428E-2,-1.223152963E-1
4.140000000E0,2.103849349E-1,-1.342127484E-2,-9.374018584E-2
4.160000000E0,2.098532198E-1,-1.333779016E-2,-2.802004966E-2
4.180000000E0,2.092520063E-1,-1.157062875E-2,6.163577654E-2
4.200000000E0,2.086975113E-1,-8.280862796E-3,1.520735791E-1
4.220000000E0,2.083239126E-1,-3.500941289E-3,2.160147131E-1
4.240000000E0,2.082291400E-1,2.508308520E-3,2.355820072E-1
4.260000000E0,2.084500036E-1,8.941951369E-3,2.066241229E-1
4.280000000E0,2.089811393E-1,1.436349550E-2,1.314731749E-1
4.300000000E0,2.097433354E-1,1.715569096E-2,2.272148676E-2
4.320000000E0,2.105512568E-1,1.651745024E-2,-8.994039758E-2
4.340000000E0,2.111877883E-1,1.304960518E-2,-1.710619691E-1
4.360000000E0,2.115276127E-1,8.011782645E-3,-2.016685343E-1
4.380000000E0,2.115566590E-1,2.596122947E-3,-1.825886879E-1
4.400000000E0,2.113244558E-1,-2.243667610E-3,-1.251486213E-1
4.420000000E0,2.109462576E-1,-5.681336166E-3,-5.195152944E-2
4.440000000E0,2.105448575E-1,-7.219141334E-3,1.528543623E-2
4.460000000E0,2.102211852E-1,-6.860487564E-3,6.084997742E-2
4.480000000E0,2.100202155E-1,-5.434820179E-3,7.991403510E-2
4.500000000E0,2.099439027E-1,-3.825041694E-3,7.418748528E-2
4.520000000E0,2.099697602E-1,-2.412059374E-3,4.975219147E-2
4.540000000E0,2.100735997E-1,-1.346357374E-3,1.282900851E-2
