"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.374754333E0,-7.535271347E-2,-6.857524067E-2,-2.766928196E0,2.768803394E0
1.384740333E0,3.118544631E-2,-1.203598753E-1,-2.196388721E0,2.199905100E0
1.394725333E0,1.376158297E-1,-1.772630960E-1,-1.594855189E0,1.610566173E0
1.404710333E0,2.438706309E-1,-2.205898017E-1,-9.760212302E-1,1.029927273E0
1.414695333E0,3.269065619E-1,-1.869075149E-1,-3.465825319E-1,5.117829332E-1
1.424681333E0,3.567286134E-1,-1.776399910E-1,2.802677751E-1,4.871973889E-1
1.434666333E0,3.431439102E-1,-1.341697276E-1,8.905702233E-1,9.637762093E-1
1.444651333E0,2.828491330E-1,-3.729457781E-2,1.482749104E0,1.509946828E0
1.454636333E0,1.676531881E-1,2.253491804E-2,2.047974586E0,2.054948983E0
1.464622333E0,2.187575027E-2,9.673032165E-2,2.573898315E0,2.575808192E0
1.474607333E0,-1.507677883E-1,1.937197298E-1,3.063873053E0,3.073690997E0
1.484592333E0,-3.260764778E-1,2.356011420E-1,3.507824898E0,3.530817084E0
1.494578333E0,-4.837858081E-1,2.917309701E-1,3.902536869E0,3.943215652E0
1.504563333E0,-6.218994856E-1,3.316022456E-1,4.245904922E0,4.304001351E0
1.514548333E0,-7.117020488E-1,3.152373731E-1,4.539253235E0,4.605509129E0
1.524533333E0,-7.583390474E-1,3.019013405E-1,4.774161816E0,4.843433036E0
1.534519333E0,-7.592490911E-1,2.394139618E-1,4.951035500E0,5.014631666E0
1.544504333E0,-7.113659978E-1,1.447729468E-1,5.070878506E0,5.122578414E0
1.554489333E0,-6.223818660E-1,5.876804888E-2,5.125957966E0,5.163938220E0
1.564474333E0,-5.153278708E-1,-8.141409606E-2,5.114603043E0,5.141143390E0
1.574460333E0,-3.907327354E-1,-1.875400096E-1,5.039110184E0,5.057714382E0
1.584445333E0,-2.660541832E-1,-2.636339664E-1,4.890871525E0,4.905192348E0
1.594430333E0,-1.607034504E-1,-3.513497412E-1,4.673099041E0,4.689043281E0
1.604415333E0,-6.169883534E-2,-3.539532423E-1,4.387232304E0,4.401919687E0
1.614401333E0,8.899006061E-3,-3.199574351E-1,4.038115025E0,4.050780777E0
1.624386333E0,3.979646787E-2,-2.715243995E-1,3.629773140E0,3.640132182E0
1.634371333E0,5.752275512E-2,-1.499841511E-1,3.161580801E0,3.165659058E0
1.644356333E0,5.302520841E-2,-1.596616022E-2,2.646076918E0,2.646656314E0
1.654342333E0,1.737390272E-2,1.012369096E-1,2.090009928E0,2.092532500E0
1.664327333E0,-1.975695416E-2,2.329424918E-1,1.506705403E0,1.524733981E0
1.674312333E0,-6.972640008E-2,3.227253556E-1,9.015260935E-1,9.600847480E-1
1.684297333E0,-1.144893393E-1,3.605025709E-1,2.854882479E-1,4.738918147E-1
