"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.570863834E0,-4.311035156E-2,2.844085693E-3,8.818461914E0,8.818567748E0
2.580899834E0,-3.113525391E-2,-6.122268677E-2,9.208700409E0,9.208956556E0
2.590936834E0,6.586303711E-2,-9.714797974E-2,8.741222534E0,8.742010470E0
2.600972834E0,7.379653931E-2,-1.222956848E-1,9.132508850E0,9.133625789E0
2.611008834E0,4.101470947E-2,-9.819580078E-2,1.032223480E1,1.032278334E1
2.621045833E0,1.326242065E-1,-1.100212097E-1,1.073702225E1,1.073840494E1
2.631081834E0,3.367996216E-2,-1.243913269E-1,1.139235947E1,1.139308833E1
2.641118834E0,-3.772155762E-2,-1.091230774E-1,1.213077393E1,1.213132337E1
2.651154834E0,-4.954696655E-2,-8.681945801E-3,1.246966919E1,1.246977065E1
2.661190834E0,7.634124756E-3,-2.305206299E-2,1.265812729E1,1.265815058E1
2.671227833E0,7.110214233E-2,1.990859985E-2,1.279614029E1,1.279635332E1
2.681263833E0,1.143621826E-1,2.335144043E-2,1.314686096E1,1.314737910E1
2.691300834E0,5.927673340E-2,3.038681030E-2,1.374920837E1,1.374936973E1
2.701336834E0,6.556365967E-2,-2.514770508E-2,1.356419312E1,1.356437488E1
2.711372834E0,1.354682922E-1,-6.361770630E-2,1.337947723E1,1.338031427E1
2.721409834E0,1.193019104E-1,-8.247848511E-2,1.413061523E1,1.413135954E1
2.731445834E0,3.847000122E-2,-7.918533325E-2,1.515837799E1,1.515863363E1
2.741482833E0,1.184037781E-1,-3.008743286E-2,1.447265396E1,1.447316957E1
2.751518833E0,6.107299805E-2,6.810836792E-2,1.448492844E1,1.448521731E1
2.761554834E0,5.942642212E-2,4.520599365E-2,1.435514832E1,1.435534250E1
2.771591834E0,1.199006653E-1,8.831634521E-2,1.400263138E1,1.400342321E1
2.781627834E0,1.333726501E-1,1.145118713E-1,1.393122986E1,1.393233888E1
2.791664834E0,9.011260986E-2,1.368154907E-1,1.410726379E1,1.410821500E1
2.801700833E0,3.577560425E-2,1.389111328E-1,1.430335602E1,1.430407528E1
2.811736833E0,1.975891113E-2,1.143621826E-1,1.377091324E1,1.377140227E1
2.821773834E0,4.760101318E-2,9.131011963E-2,1.298953812E1,1.298994626E1
2.831809834E0,1.269360352E-1,1.149609375E-1,1.251936584E1,1.252053713E1
2.841846834E0,1.092727661E-1,1.323248291E-1,1.274719208E1,1.274834720E1
2.851882834E0,7.140151978E-2,1.686991882E-1,1.222492813E1,1.222630056E1
2.861918834E0,1.049317932E-1,1.375639343E-1,1.140178986E1,1.140310249E1
2.871955833E0,4.236190796E-2,1.350192261E-1,1.107591751E1,1.107682145E1
2.881991833E0,-3.338058472E-2,1.716929626E-1,1.098281113E1,1.098420379E1
