"t","z"
6.540982125E0,2.356320800E-1
6.557655333E0,2.357111376E-1
6.574327083E0,2.357994942E-1
6.591000333E0,2.406993499E-1
6.607670500E0,2.406353476E-1
6.624344208E0,2.472372313E-1
6.641014666E0,2.475351560E-1
6.657687875E0,2.561772342E-1
6.674358458E0,2.628892321E-1
6.691032083E0,2.625273628E-1
6.707703666E0,2.624836375E-1
6.724375000E0,2.623935470E-1
6.741047333E0,2.601517421E-1
6.757719750E0,2.592436228E-1
6.774392291E0,2.588386993E-1
6.791065833E0,2.488509603E-1
6.807735708E0,2.495765843E-1
6.824409208E0,2.443669187E-1
6.841080333E0,2.442997996E-1
6.857754875E0,2.393627594E-1
6.874424875E0,2.390513491E-1
6.891098458E0,2.378187566E-1
6.907768541E0,2.379186141E-1
6.924440250E0,2.424575797E-1
6.941113416E0,2.479468714E-1
6.957786750E0,2.478014222E-1
6.974457541E0,2.473295484E-1
6.991130708E0,2.559694506E-1
7.007802166E0,2.616743854E-1
7.024475541E0,2.619172263E-1
7.041145791E0,2.618143043E-1
7.057818750E0,2.613060767E-1
7.074489791E0,2.611194282E-1
7.091164166E0,2.591797699E-1
7.107834208E0,2.590945391E-1
7.124507625E0,2.489773209E-1
7.141178708E0,2.495692887E-1
7.157852250E0,2.448933586E-1
7.174523375E0,2.446322649E-1
7.191200958E0,2.386151649E-1
7.207867958E0,2.382456345E-1
7.224540000E0,2.384058562E-1
7.241211458E0,2.382688419E-1
7.257886500E0,2.426987166E-1
7.274555916E0,2.427674428E-1
7.291230000E0,2.469115744E-1
7.307899625E0,2.472766863E-1
7.324572416E0,2.552417557E-1
7.341245875E0,2.607019725E-1
7.357917000E0,2.609063537E-1
7.374588458E0,2.606410350E-1
7.391261250E0,2.608315014E-1
7.407932708E0,2.609539599E-1
7.424605125E0,2.585639638E-1
7.441281791E0,2.585656084E-1
7.457951375E0,""
