"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.342087083E-1,-1.054888010E0,2.402092703E-2,-3.007204831E-2,1.055589905E0
8.441937083E-1,-1.080554724E0,-1.219566539E-2,2.960193343E-2,1.081028917E0
8.541777083E-1,-1.107192993E0,-2.305230498E-2,6.339325011E-2,1.109245887E0
8.641627083E-1,-1.166777015E0,1.147904154E-2,4.739670455E-2,1.167795709E0
8.741467083E-1,-1.202992320E0,2.752192318E-2,-2.840365050E-3,1.203310453E0
8.841317083E-1,-1.197338104E0,9.740264155E-3,-5.112001300E-2,1.198468466E0
8.941167083E-1,-1.205014825E0,2.018567361E-2,-6.552509964E-2,1.206963847E0
9.041007083E-1,-1.234987140E0,3.035628423E-2,-3.676109761E-2,1.235907002E0
9.140857083E-1,-1.238204837E0,9.505387396E-3,1.727175526E-2,1.238361774E0
9.240697083E-1,-1.234128118E0,5.691739265E-3,5.840400979E-2,1.235522414E0
9.340547083E-1,-1.240008116E0,2.788645029E-2,6.199771538E-2,1.241870161E0
9.440387083E-1,-1.226194024E0,2.965399250E-2,2.022230625E-2,1.226719237E0
9.540237084E-1,-1.191442013E0,1.402233820E-2,-2.682538331E-2,1.191826454E0
9.640077082E-1,-1.169965982E0,6.997452118E-3,-6.063953415E-2,1.171557304E0
9.739927083E-1,-1.162690878E0,1.581707224E-2,-5.176223814E-2,1.163949993E0
9.839767083E-1,-1.132881641E0,1.663704403E-3,-1.464922447E-2,1.132977573E0
9.939617083E-1,-1.085534334E0,-1.122306101E-2,2.903280593E-2,1.085980502E0
1.003945708E0,-1.041265130E0,5.882688332E-3,4.592630267E-2,1.042294058E0
1.013930708E0,-9.970554709E-1,1.281219348E-2,2.611047029E-2,9.974795843E-1
1.023914708E0,-9.364390373E-1,-1.372335479E-3,-1.475333702E-2,9.365562529E-1
1.033899708E0,-8.858245015E-1,-1.158704981E-3,-5.172961950E-2,8.873344035E-1
1.043883708E0,-8.359216452E-1,7.970610633E-3,-5.432780087E-2,8.377231270E-1
1.053868708E0,-7.721782327E-1,2.006236464E-3,-2.538504824E-2,7.725979865E-1
1.063852708E0,-6.944890022E-1,-4.273601808E-4,1.921384409E-2,6.947548695E-1
1.073837708E0,-6.261998415E-1,6.906420924E-3,4.792280123E-2,6.280688935E-1
1.083821708E0,-5.625559092E-1,2.302973159E-2,4.562369362E-2,5.648725882E-1
1.093806708E0,-4.857647419E-1,1.720532961E-2,1.109857298E-2,4.861960368E-1
1.103790708E0,-4.058011770E-1,7.703438401E-3,-2.800275572E-2,4.068391483E-1
1.113775708E0,-3.225517869E-1,1.232407615E-2,-4.331276193E-2,3.256801091E-1
1.123759708E0,-2.439429909E-1,5.873633083E-3,-2.647492662E-2,2.454457254E-1
1.133744708E0,-1.630051881E-1,2.503579482E-3,7.519568317E-3,1.631977425E-1
1.143728708E0,-8.338172734E-2,-1.593693625E-3,3.804605082E-2,9.166544767E-2
1.153713708E0,-4.241027869E-3,6.734060124E-3,3.959432244E-2,4.038618889E-2
1.163697708E0,8.293621987E-2,1.023977064E-3,1.773722842E-2,8.481788943E-2
1.173682708E0,1.776887178E-1,-1.503858529E-2,-2.152377181E-2,1.796182403E-1
1.183666708E0,2.532964051E-1,-4.774496891E-3,-4.541152716E-2,2.573792366E-1
1.193651708E0,3.191633821E-1,-1.417335123E-2,-4.164407402E-2,3.221806593E-1
1.203636708E0,3.995676935E-1,-1.163802296E-2,-1.292614359E-2,3.999460844E-1
1.213620708E0,4.839439094E-1,-2.015423030E-2,2.185518295E-2,4.848562153E-1
1.223605708E0,5.690662861E-1,-1.083210111E-2,3.981660679E-2,5.705603689E-1
1.233589708E0,6.332253814E-1,6.393194199E-3,3.328608349E-2,6.341318632E-1
1.243574708E0,6.945697069E-1,2.341994084E-3,1.092229504E-4,6.945736639E-1
1.253558708E0,7.693671584E-1,-1.069094799E-2,-2.396710031E-2,7.698146158E-1
1.263543708E0,8.360571861E-1,-2.868179232E-3,-2.988570929E-2,8.365960797E-1
1.273527708E0,8.881704211E-1,3.300243523E-3,-1.170551218E-2,8.882536842E-1
1.283512708E0,9.499893188E-1,-2.803988289E-3,1.916212216E-2,9.501866949E-1
1.293496708E0,9.994216561E-1,1.933491323E-3,4.033585638E-2,1.000237155E0
1.303481708E0,1.040869594E0,1.148358732E-2,3.956274316E-2,1.041684498E0
1.313465708E0,1.080122352E0,1.922771335E-3,1.597815380E-2,1.080242238E0
1.323450708E0,1.124775887E0,-2.915711701E-2,-1.466604136E-2,1.125249317E0
1.333434708E0,1.154332757E0,-2.421023324E-2,-3.163773194E-2,1.155019998E0
1.343419708E0,1.172345519E0,-6.057860795E-3,-2.386609465E-2,1.172604070E0
1.353403708E0,1.203092098E0,-1.067555137E-2,-2.324034227E-3,1.203141706E0
1.363388708E0,1.228506923E0,-2.138971537E-2,2.091657370E-2,1.228871141E0
1.373372708E0,1.229429841E0,-1.412750501E-2,2.790309303E-2,1.229827591E0
1.383357708E0,1.220665097E0,-1.535255834E-2,1.509675104E-2,1.220854984E0
1.393341708E0,1.228170395E0,-3.222028166E-2,-8.913282305E-3,1.228625294E0
1.403326708E0,1.235983610E0,-2.841169387E-2,-2.548427135E-2,1.236572746E0
1.413310708E0,1.222983003E0,-1.637247857E-3,-2.244324796E-2,1.223190012E0
1.423295708E0,1.202954173E0,1.088497695E-3,-1.830115682E-3,1.202956058E0
1.433279708E0,1.181820154E0,-4.405879416E-3,1.895066723E-2,1.181980294E0
1.443264708E0,1.146798015E0,-7.355110720E-4,3.297753632E-2,1.147272307E0
1.453248708E0,1.106290340E0,-6.038437132E-3,2.734703384E-2,1.106644767E0
1.463233708E0,1.081872940E0,-2.262140810E-2,5.612710025E-3,1.082123971E0
1.473217708E0,1.044551492E0,-2.221442759E-2,-1.200578827E-2,1.044856659E0
1.483202708E0,9.928650856E-1,1.351853646E-2,-1.426201779E-2,9.930595320E-1
1.493186708E0,9.333157539E-1,1.540318318E-2,-3.023178317E-3,9.334477458E-1
1.503171708E0,8.840686083E-1,-1.326681208E-2,1.116454601E-2,8.842386327E-1
1.513155708E0,8.242776394E-1,-2.739294432E-2,1.929887198E-2,8.249584515E-1
1.523140708E0,7.515389919E-1,-2.243440598E-2,1.783466525E-2,7.520852573E-1
1.533124708E0,6.918029189E-1,-1.902906224E-2,-4.865988158E-4,6.920647517E-1
1.543109708E0,6.299805641E-1,-1.207022183E-2,-1.675478369E-2,6.303189067E-1
1.553093708E0,5.500394106E-1,4.785172641E-3,-2.616399154E-2,5.506821275E-1
1.563078708E0,4.696111679E-1,-4.926794209E-4,-1.649458520E-2,4.699010141E-1
1.573063708E0,3.974951804E-1,-2.229305357E-2,-2.360721584E-3,3.981268286E-1
1.583047708E0,3.249357641E-1,-2.995150723E-2,1.508538052E-2,3.266617704E-1
