"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.517329583E-1,1.671505161E-2,4.229269505E0,-3.098741639E-3,4.229303670E0
8.617169583E-1,1.899524964E-2,4.190442562E0,-5.479075015E-3,4.190489197E0
8.717009583E-1,2.511042543E-2,4.130710602E0,-4.209224135E-3,4.130789068E0
8.816859584E-1,1.678671688E-2,4.054022312E0,-4.228132777E-3,4.054059272E0
8.916699584E-1,1.293232851E-2,3.957480907E0,-6.582650356E-3,3.957507512E0
9.016539584E-1,2.809530310E-2,3.842553854E0,-2.687244210E-3,3.842657503E0
9.116379584E-1,2.354604378E-2,3.709874868E0,-2.393021015E-3,3.709950361E0
9.216229584E-1,1.838377304E-2,3.564130306E0,-4.430073313E-3,3.564180471E0
9.316069584E-1,1.960326545E-2,3.403245211E0,-2.593858168E-3,3.403302658E0
9.415909584E-1,1.740216278E-2,3.234549046E0,-3.507322166E-3,3.234597759E0
9.515759583E-1,1.299944706E-2,3.049733639E0,-4.583697300E-3,3.049764788E0
9.615599583E-1,1.382342912E-2,2.850561142E0,-4.517118912E-3,2.850598238E0
9.715439583E-1,1.375124697E-2,2.649047852E0,-4.733405076E-3,2.649087772E0
9.815289583E-1,1.205721032E-2,2.436219454E0,-3.985323012E-3,2.436252550E0
9.915129583E-1,1.052321587E-2,2.214047670E0,-1.557480311E-3,2.214073226E0
1.001496958E0,9.351691231E-3,1.988714099E0,-7.334982511E-4,1.988736222E0
1.011481958E0,7.716244552E-3,1.759439111E0,-1.603819197E-3,1.759456762E0
1.021465958E0,4.802213516E-3,1.520866394E0,-2.682439517E-4,1.520873999E0
1.031449958E0,5.053073168E-3,1.280201435E0,-2.468051156E-3,1.280213787E0
1.041434958E0,6.087977439E-3,1.036304951E0,8.142946754E-4,1.036323153E0
1.051418958E0,2.659979742E-3,7.945809364E-1,-5.354641471E-4,7.945855692E-1
1.061403958E0,2.800328191E-3,5.469136238E-1,4.350719973E-5,5.469207947E-1
1.071387958E0,2.486853860E-3,2.973403335E-1,-8.031849284E-4,2.973518176E-1
1.081371958E0,1.400550362E-3,5.013187230E-2,-5.115687381E-4,5.015404135E-2
1.091355958E0,8.729941910E-4,-1.959204674E-1,-1.314759254E-3,1.959268237E-1
1.101340958E0,-3.595524002E-3,-4.455907345E-1,-2.297873143E-4,4.456052998E-1
1.111324958E0,-2.770217601E-3,-6.888741255E-1,-1.158875879E-3,6.888806703E-1
1.121309958E0,-4.515120760E-3,-9.345800281E-1,1.697630505E-3,9.345924765E-1
1.131293958E0,-6.685607135E-3,-1.177453518E0,1.536472933E-3,1.177473501E0
